Date,Open,High,Low,Close,Adj Close,Volume
11/9/2017,0.217911,0.221791,0.214866,0.217488,0.217488,147916992
11/10/2017,0.218256,0.219068,0.20526,0.206483,0.206483,141032992
11/11/2017,0.205948,0.214456,0.205459,0.21043,0.21043,134503008
11/12/2017,0.210214,0.210214,0.195389,0.197339,0.197339,251175008
11/13/2017,0.197472,0.204081,0.197456,0.203442,0.203442,132567000
11/14/2017,0.203679,0.213693,0.203679,0.209825,0.209825,127361000
11/15/2017,0.208937,0.213105,0.208058,0.212956,0.212956,100294000
11/16/2017,0.212655,0.27179,0.209287,0.227107,0.227107,1022579968
11/17/2017,0.224768,0.239409,0.220273,0.226581,0.226581,397071008
11/18/2017,0.226547,0.230399,0.222399,0.228627,0.228627,144298000
11/19/2017,0.22814,0.236231,0.226037,0.231016,0.231016,193808000
11/20/2017,0.231336,0.24343,0.230917,0.238759,0.238759,214663008
11/21/2017,0.237978,0.240974,0.2272,0.233271,0.233271,217851008
11/22/2017,0.232642,0.240848,0.232317,0.238859,0.238859,167078000
11/23/2017,0.238991,0.250096,0.237304,0.242402,0.242402,240684992
11/24/2017,0.242851,0.245388,0.238421,0.244642,0.244642,211486000
11/25/2017,0.244178,0.2557,0.243584,0.252393,0.252393,212592992
11/26/2017,0.252914,0.252914,0.248589,0.248818,0.248818,133297000
11/27/2017,0.248305,0.254733,0.247861,0.253927,0.253927,196735008
11/28/2017,0.254037,0.301084,0.253415,0.299152,0.299152,720742976
11/29/2017,0.297867,0.297867,0.239409,0.243064,0.243064,541177984
11/30/2017,0.246433,0.261524,0.229586,0.250878,0.250878,270907008
12/1/2017,0.250352,0.258828,0.239438,0.255699,0.255699,182992000
12/2/2017,0.255656,0.259218,0.250756,0.255492,0.255492,118250000
12/3/2017,0.25553,0.263072,0.247391,0.252558,0.252558,134710000
12/4/2017,0.252919,0.255362,0.24716,0.253571,0.253571,104650000
12/5/2017,0.253598,0.253988,0.245234,0.246101,0.246101,174591008
12/6/2017,0.245416,0.245705,0.227742,0.232544,0.232544,274526016
12/7/2017,0.232623,0.23376,0.22134,0.222823,0.222823,275204992
12/8/2017,0.223636,0.278673,0.222168,0.252125,0.252125,660172032
12/9/2017,0.252162,0.255684,0.240073,0.244708,0.244708,205288992
12/10/2017,0.245548,0.245548,0.229304,0.237333,0.237333,198174000
12/11/2017,0.236574,0.252777,0.235804,0.251691,0.251691,176100992
12/12/2017,0.252258,0.434102,0.250961,0.373541,0.373541,1555040000
12/13/2017,0.372689,0.513768,0.342964,0.471063,0.471063,2738759936
12/14/2017,0.470648,0.892267,0.466401,0.864263,0.864263,6358700032
12/15/2017,0.86176,0.86176,0.666114,0.756181,0.756181,3194210048
12/16/2017,0.755493,0.815923,0.741667,0.758642,0.758642,1334770048
12/17/2017,0.754125,0.765981,0.719929,0.728366,0.728366,805200000
12/18/2017,0.728036,0.792014,0.689323,0.778407,0.778407,1342720000
12/19/2017,0.777447,0.863536,0.756724,0.791257,0.791257,1449670016
12/20/2017,0.787171,0.789044,0.730953,0.775964,0.775964,1007420032
12/21/2017,0.782515,1.23622,0.782515,1.19306,1.19306,3626109952
12/22/2017,1.16651,1.37918,0.741013,1.13828,1.13828,4644700160
12/23/2017,1.16594,1.2081,1.07611,1.17434,1.17434,1497590016
12/24/2017,1.17558,1.17558,0.911226,1.04395,1.04395,754958976
12/25/2017,1.04561,1.12852,1.00356,1.12232,1.12232,686014016
12/26/2017,1.12174,1.19131,1.09062,1.18949,1.18949,938846976
12/27/2017,1.18422,1.46846,1.18234,1.39964,1.39964,2854259968
12/28/2017,1.39389,1.5008,1.25865,1.43088,1.43088,2843300096
12/29/2017,1.43957,2.26515,1.43658,2.2146,2.2146,7545739776
12/30/2017,2.199,2.85453,2.03517,2.15902,2.15902,8108389888
12/31/2017,2.0951,2.392,1.8703,2.30057,2.30057,4642079744
1/1/2018,2.29602,2.39103,2.14897,2.39103,2.39103,1894230016
1/2/2018,2.36948,2.48919,2.24793,2.4809,2.4809,3171010048
1/3/2018,2.4641,3.27938,2.44315,3.10537,3.10537,6635879936
1/4/2018,3.11734,3.84194,3.11734,3.19663,3.19663,8103660032
1/5/2018,3.30081,3.56468,2.82561,3.04871,3.04871,6288500224
1/6/2018,3.02105,3.23656,2.98992,3.09397,3.09397,2777560064
1/7/2018,3.09296,3.48725,3.08382,3.37781,3.37781,2395150080
1/8/2018,3.36357,3.36357,2.06552,2.45621,2.45621,3315259904
1/9/2018,2.44346,2.52896,1.98066,2.10178,2.10178,3694700032
1/10/2018,2.12991,2.15887,1.69519,1.97492,1.97492,4833639936
1/11/2018,1.98021,2.24898,1.61527,1.9508,1.9508,6296119808
1/12/2018,1.94048,2.15682,1.86729,2.04323,2.04323,3330810112
1/13/2018,2.05141,2.1187,1.98202,2.02135,2.02135,2130169984
1/14/2018,2.01852,2.01852,1.81184,1.86119,1.86119,1978200064
1/15/2018,1.85625,1.90081,1.66529,1.67673,1.67673,1838460032
1/16/2018,1.67836,1.70138,0.909313,1.17924,1.17924,5687960064
1/17/2018,1.18368,1.37673,0.897797,1.30634,1.30634,7251210240
1/18/2018,1.30558,1.73319,1.25605,1.59658,1.59658,9110439936
1/19/2018,1.58217,1.70214,1.50134,1.55205,1.55205,3697430016
